,created_at,text,reply_count,retweet_count,favorite_count,topic
50,Fri Jan 01 01:03:16 +0000 2021,"Love how during the New Year’s firework display, David Attenborough spoke about protecting the planet after we set off a shit ton of fireworks. 

For real though, 2021 has to be the year we finally begin to tackle the climate crisis with the seriousness and urgency it requires.",0,1,5,
51,Fri Jan 01 01:03:15 +0000 2021,Organic meat as bad for the environment as regular meat https://t.co/T0mWRM2ZMy via https://t.co/VxtC71t0wn,0,0,0,
52,Fri Jan 01 01:03:01 +0000 2021,Organic meat as bad for the environment as regular meat https://t.co/V0a8LttkoR via https://t.co/BjaU6xvV7u,0,0,0,
53,Fri Jan 01 01:02:59 +0000 2021,"David Attenborough talking about climate change and protecting wildlife is good.
David Attenborough talking about climate change and protecting wildlife during a huge fireworks display that is going on across the globe, is dumb.",0,0,0,
54,Fri Jan 01 01:02:57 +0000 2021,"David Attenborough talking about climate change, after a massive firework display and a light show using more electric than i would in 5 years 🤔🤷‍♂️😂. Serious question though is the new year display always that magnificent? Im normally 17 pints deep kissing everyone at midnight",0,0,1,
55,Fri Jan 01 01:02:35 +0000 2021,10 steamy signs in 2020 that climate change is speeding up https://t.co/RQkXygmKCY,0,0,0,
56,Fri Jan 01 01:02:22 +0000 2021,Collaborating with the ocean is essential to addressing climate change and environmental justice https://t.co/JuzCFHRR3F,0,0,0,
57,Fri Jan 01 01:02:04 +0000 2021,"I love Greta on so many levels. Her fight to save the world from the disaster of climate change is so admirable, but what is even more fantastic? She scares the holy hell out of our buffoon soon-to-be-gone president. Love ya lots Greta! https://t.co/uTH1pwH1PE",0,0,5,
58,Fri Jan 01 01:01:54 +0000 2021,"Midway through #WallE its easy to see how much worse we could be if we never took global warming and the environment seriously, or if we took our own health for granted. In its own kind of animated way.",0,0,0,
59,Fri Jan 01 01:01:41 +0000 2021,"Happy New Year’s Eve!✨ For 2021, let’s take action to tackle climate change and its impacts by focusing on SDG #13, Climate Action!🌍 Start by swiping through our slides and learning what actions to take to build climate resilience!♻️ https://t.co/ParY3dmswm https://t.co/UFhm7F9BVp",0,0,3,
60,Fri Jan 01 01:01:20 +0000 2021,"for a 2021 in which our dreams are fulfilled, for a 2021 in which there is more justice for the voices that will never be heard again, a 2021 in which we are more intelligent as humanity and save the planet from global warming, we are grateful to be able  hug our family(+)",1,0,0,
61,Fri Jan 01 01:01:12 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/dRsa9Ej9B4,0,0,0,
62,Fri Jan 01 01:00:39 +0000 2021,"https://t.co/rhihhLrtbQ

Americans have $1.3 trillion in personal savings. A study published in The Economics of Disasters and Climate Change found that the coronavirus pandemic will result in between $3.2 trillion to $4.8 trillion in GDP losses.",0,2,3,
63,Fri Jan 01 01:00:24 +0000 2021,"Researchers are studying past climates by looking at the teeth of herbivores that lived thousands of years ago.
 
https://t.co/k3fGoppO5v",0,0,2,
64,Fri Jan 01 01:00:23 +0000 2021,"#2020Events

On November 3, Joe Biden was elected new US president. 🏆

Meanwhile, Washington formally left the Paris Agreement on preventing climate change. 🧾 https://t.co/1rG0MtziCc",0,2,1,
65,Fri Jan 01 01:00:21 +0000 2021,"Only in UK would we commemorate the work of David Attenborough on New Year’s Eve , particularly in regards to his work to eliminate climate change, by firing thousands of fire works that release harmful air pollution alongside the drones doing the commemoration",0,0,1,
66,Fri Jan 01 01:00:21 +0000 2021,"The wildfire smoke this summer and fall was nasty - but you can bet it will be back in future years, as climate change continues to get worse. Here's how to protect yourself from wildfire smoke when it comes again.
https://t.co/19cAAkXG1u",0,0,5,
67,Fri Jan 01 01:00:08 +0000 2021,"As a #renewable fuel pioneer, Kern has produced over 40 million gallons of renewable diesel since 2011. We share our state’s commitments to fight climate change, reduce carbon emissions, and improve the air we breathe. #CaliforniaClean https://t.co/URnCKE3iAq",0,0,2,
68,Fri Jan 01 01:00:08 +0000 2021,Trade feuds will take on a different hue after the departure of Donald Trump. Joe Biden’s determination to fight #climate change could emerge as a new source of commerce tensions. @Reuters https://t.co/ed0V03HkAF,0,0,0,
