,created_at,text,reply_count,retweet_count,favorite_count,topic
181,Fri Jan 01 00:23:31 +0000 2021,"I look forward to death, I can't stand watching this shitshow every year, countries destroying themselves, pollution for the rich 1%, ignorance all around, ableism, climate change, stupid by a stupidly large percent of humanity, woe is planet Earth.",0,0,1,
1216,Sun Jan 31 04:48:10 +0000 2021,"We only have one home, And If it's daying, we die too. Video clips show the adverse implementation caused by climate change.
Courtesy E. T. Rouleau https://t.co/f59vC89nY0",1,0,2,
5436,Sat Nov 06 12:15:39 +0000 2021,BBC News is on full fake climate change.  What a dreadful disgrace ... https://t.co/vrG2iXGTrG,0,3,2,
5866,Mon Nov 29 15:16:54 +0000 2021,"Change is in our own hands. 💪 A mighty open-license illustration by Joana Mundana, a Portuguese artist. She is one of 50 talented Selected Artists, recognized by our #ArtistsForClimate jury. Use this work – and more – for climate change awareness: https://t.co/rA9h6PogrG https://t.co/YYnLNBrul2",1,0,6,
2249,Thu May 20 13:58:31 +0000 2021,"Nations Must Drop Fossil Fuels, Fast, World Energy Body Warns https://t.co/P1PDFirDBB",0,0,0,
2494,Sun Jun 06 13:38:08 +0000 2021,"Let's save our Environment through planting more trees and forests.
Our Environment Our responsibility and if it is challenged we are also to be challenged by climate change calamities.
#HappyEnvironmentDay https://t.co/H6lETkhERh",0,0,0,
584,Wed Feb 17 02:41:56 +0000 2021,"Pump cash into steel industry to boost climate change fight, Government urged https://t.co/925OWcOTQJ",0,1,0,
2260,Thu May 20 13:56:10 +0000 2021,Global Warming https://t.co/m6ZeG6XbUk,0,0,0,
5229,Sun Oct 17 21:02:50 +0000 2021,https://t.co/mt17hhKmlj to Combat Climate Change and Achieve Carbon Neutrality by 2025 - Egnarohttps://egnaro.info/loreal-to-combat-climate-change-and-achieve-in-2025/link,0,0,0,
4483,Mon Sep 27 10:46:51 +0000 2021,Climate change. Act now. https://t.co/i5ubZrD1LS,0,0,0,
4845,Wed Oct 20 21:15:06 +0000 2021,"Global Capital is generally rotating out of fossil fuels and into renewables. Inflowing money will help the supply side grow, achieving economies of scale, which fosters the demand side.
This is a very good development in general! But, ... (1/3)
https://t.co/hcND4XYa2b",1,1,0,
2184,Thu May 20 14:03:26 +0000 2021,"Climate change is the cause of that. This mean the the iceberg is felting which can lead to local sea level to rise, with this we may experience strong wave action, and coastal flooding and this can cause coastal erosion. Mangroves are important. 
@AndrewHolnessJM https://t.co/gNWAGy4i55",0,0,0,
3079,Tue Jul 13 22:30:32 +0000 2021,The West catches fire while the East goes under water as climate change fuels both extremes https://t.co/2roRNyxGzP,0,3,3,
2141,Thu May 20 14:07:51 +0000 2021,"So if the CDC says Climate change is a threat to the health of Americans and orders reduced activity they can!? 
 @BuzzPatterson @AjaforCongress @TamikaGHamilton @ErrolWebber @joeecollins3 
Is this the kind of thing you want !? 
Where Bureaucrats can circumvent legislatures. https://t.co/zHM9JfcH4g",0,0,1,
1188,Sun Jan 31 05:01:18 +0000 2021,"Watch ""Gina McCarthy Talks About the Intersectionality of Climate Change"" on YouTube https://t.co/SOlfXPLafX",0,0,0,
714,Wed Feb 17 02:34:12 +0000 2021,"#billgates new book on reducing world’s greenhouse gas emissions
#climatechange #greenhousegasemissions https://t.co/9TebAtznok",0,0,1,
362,Fri Jan 15 02:27:28 +0000 2021,Climate change denial is so 1990.  The only debate now is how bad is it going to change #FiretheUCP #ResignKenney https://t.co/NV7uhIw2q6,0,0,0,
1601,Mon Feb 22 05:27:01 +0000 2021,"To reverse human-caused climate change, we must remove what we’ve already emitted. Learn at @SAPInsights how tech can help us escape our climate emergency. 🌳🚑 https://t.co/N4kqa5hbrT",0,0,1,
4411,Mon Sep 27 10:56:54 +0000 2021,"#GlobalWarming is boosting our problem https://t.co/b7BwZMYEPT
#ClimateCrisis: world is at its hottest for at least 12,000 years – study https://t.co/FqnJVNetJe",0,0,0,
4825,Wed Oct 20 21:17:47 +0000 2021,"Despite climate change promises, governments plan to ramp up fossil fuel production - NPR https://t.co/veMk5U0w3t",0,0,0,
6198,Sat Dec 25 20:56:00 +0000 2021,It’s global warming https://t.co/Q7YuoNJPGs,0,0,0,
4521,Mon Sep 27 10:41:07 +0000 2021,did you know that global warming not worth it,0,0,0,
2340,Thu May 20 13:44:27 +0000 2021,A growing rightwing narrative on the climate crisis is blaming migrants and overpopulation for environmental harm  https://t.co/sCuImpwqtV,1,8,8,
5813,Mon Nov 29 15:23:55 +0000 2021,"Greetings green thumbs! Your number one harmful company Target was fined $27,500 due to using generators producing TONS of air emissions☢️! Who knew that  climate change is a real thing!  Find out what else is swept underneath the rug!",0,0,0,
2688,Sun Jun 06 13:52:47 +0000 2021,"Would love it if the governments of the world would stop ignoring climate change and do some major interventions, thanks https://t.co/1p2ZZ5SLyN",0,0,5,
4791,Wed Oct 20 21:22:03 +0000 2021,Multinational oil and gas giant Total accused of playing down threat of global warming since late 1980s – report https://t.co/gRMRtXRQin #,0,0,0,
6397,Sat Dec 25 20:09:28 +0000 2021,"All these white Christmas references in movies and songs sure twist the climate change knife, don’t they. Here in New Hampshire, it’s raining.",1,1,2,
4293,Wed Sep 01 09:28:37 +0000 2021,Global warming: Hold my beer https://t.co/ofTY9opgcs,1,1,5,
957,Thu Jan 28 04:00:55 +0000 2021,"John Kerry's family still owns private jet as he leads climate fight, FAA records indicate https://t.co/3iA9CNzJtA #FoxNews",0,0,0,
5379,Sat Nov 06 12:19:17 +0000 2021,"Climate Change Threatens Wine, and a Way of Life, in Jura

""Four revered French winemakers ended their lives this year. One of them, Pascal Clairet of Domaine de la Tournelle, was an iconic figure of organic viticulture in Arbois,...""
 https://t.co/CqrsRvHYMj",0,0,0,
5169,Sun Oct 17 21:09:06 +0000 2021,How the Amazon rainforest is faring under climate change https://t.co/wMrz7aBreu,0,0,0,
3089,Tue Jul 13 22:29:03 +0000 2021,Reps Pass Climate Change Bill Into Law https://t.co/NoAz7ALMP5,0,0,1,
1669,Fri Mar 26 06:30:12 +0000 2021,Talking about malaria risk zones and climate change in South Africa https://t.co/SFqxK5Clp1,0,0,0,
6398,Sat Dec 25 20:09:22 +0000 2021,Better start believing in global warming frfr https://t.co/R3FozGA7TI,0,0,0,
2440,Sun Jun 06 13:51:49 +0000 2021,An enormous missing contribution to global warming may have been right under our feet https://t.co/TYmZ6tigVr,0,0,2,
4639,Mon Sep 27 10:23:33 +0000 2021,"Senior officials admit that world leaders won't agree to cut greenhouse gas emissions to the level needed to prevent a climate debacle but will instead unveil a new blueprint to reduce emissions.
THIS IS A FRAUD
#ClimateEmergency
https://t.co/L334xHlA5p",0,0,0,
3456,Tue Jul 13 22:19:24 +0000 2021,The West is on fire while the East is under water. Climate change is a culprit. - NBC News https://t.co/u9nyl5kADE,0,0,0,
5023,Sun Oct 17 21:28:31 +0000 2021,"So now we know why @Sen_JoeManchin has refused to support the Build Back Better legislation and fighting climate change. He's bought! His vote has been bought. Shameful. Corrupt. 

@SenSchumer @SpeakerPelosi @POTUS https://t.co/IBYgz5y7Ns",0,0,1,
722,Wed Feb 17 02:33:57 +0000 2021,cLiMaTe cHAnGe iS fAkE https://t.co/4lgIkBWKTh,0,0,1,
2315,Thu May 20 13:48:42 +0000 2021,"Interesting discussion at recent Natural Environment Scrutiny Panel meeting surrounding @SwanseaCouncil ’s #climate Change Action Plan Click below to view a recording of this meeting! 
https://t.co/aoCuPhjwO0

#ClimateAction #HereForSwansea https://t.co/XbwcSYliHd",0,1,0,
2735,Sun Jun 06 13:40:56 +0000 2021,"""We, the present generation,
have the responsibility to act
as a trustee of the rich natural
wealth for future generations.
the issue is not merely about climate
change; it is about climate justice
Happy World Environment Day 2021.” https://t.co/pELSdjKKli",0,0,1,
6129,Mon Dec 06 19:21:36 +0000 2021,"Earth is getting a black box to record our climate change actions, and it's already started listening
https://t.co/SvrqMwnegZ",0,1,0,
5500,Sat Nov 06 12:11:08 +0000 2021,Crowd building at garden of remembrance for climate change march #wecanalldosomething https://t.co/DXIhoZu19N,0,1,6,
6216,Sat Dec 25 20:51:22 +0000 2021,"The fact that Drake Aubrey Graham didn't follow up singy-""Girls love Beyoncè"" with rap-""Boys love Jay-Z"" is the cause of global warming. Idc idc.",0,0,0,
4062,Mon Aug 09 00:00:04 +0000 2021,"ICYMI: Since 1960 about 21 percent of global agriculture production, including livestock, tree farming, and traditional crops such as corn and soybeans, has been negatively impacted by #climate change, according to a recent study.  https://t.co/3eRpFSbH8D",0,0,2,
1921,Wed Apr 07 07:31:04 +0000 2021,"Yes, I've heard of global warming or warning or whatever, but let's be real, if you take away my plastic straws, what am I gonna drink my frappuccino with??",0,0,0,
5854,Mon Nov 29 15:17:44 +0000 2021,TransUnion Pledges to Reach Net-Zero Scope 1 and 2 Greenhouse Gas Emissions by 2025 https://t.co/dwuDMgooDY,0,0,0,
1980,Wed Apr 07 07:21:08 +0000 2021,Drought and crop failure in the Central American dry corridor and climate change in Honduras has been a factor in the formation of the caravans. https://t.co/iAlSaOhMhV,0,0,0,
4790,Wed Oct 20 21:22:17 +0000 2021,Air Company’s Sleek New Fragrance Is Helping Tackle Climate Change  https://t.co/USBpJ0xnep,0,0,0,
4168,Wed Sep 01 09:48:00 +0000 2021,"We waste 920,000 bananas 🍌 at home in the UK every single day - that IS bananas! Growing them and getting them to your fruit bowl uses up precious water and land, generating 47,000 tonnes of greenhouse gases 🌍. 

Protect the planet and use up your bananas! #StopWastingFood https://t.co/o9MyR2YTDf",1,4,6,
2757,Sun Jun 06 13:36:42 +0000 2021,"Yeah, no, climate change is not a thing. Right. https://t.co/4Z4OYeBHHK",0,0,0,
4705,Wed Oct 20 21:31:43 +0000 2021,"One small way to fight climate change with a great bang for your buck is a global ban on this stuff, which is literally a can of one of the most potent greenhouse gases that you spray into the air on purpose https://t.co/FMBUZ3zfyr",0,0,0,
550,Fri Jan 15 01:30:34 +0000 2021,And Pols on both sides are going along with starving people with the goal of reopening the economy over saving lives...ignoring global warming and the millions now buried in insurmountable debt. https://t.co/J7QqMjB56k,0,0,0,
683,Wed Feb 17 02:35:37 +0000 2021,Global warming is a joke,0,0,0,
3732,Tue Aug 31 00:20:01 +0000 2021,“Climate Change” Activists Want Billions to Fund Killing More Babies in Abortions https://t.co/0dJdzJ2yTw,8,57,65,
3386,Tue Jul 13 22:29:16 +0000 2021,"In the process of answering a question about what the US will do about climate change, Dr Kurt Campbell says China ""talks a big game"" regarding climate change, but it is a major contributor to carbon emissions, and needs to take action ""urgently, now"" #nziia2021",1,2,4,
4389,Mon Sep 27 10:59:54 +0000 2021,This Thursday @Natwest and @MEN are hosting a live Q&amp;A session to discuss climate change matters. 1/3,1,0,0,
1495,Mon Feb 22 05:56:50 +0000 2021,"#KochNetwork has been waging a right wing media war on ALL public infrastructure projects that recognise Climate Change. 
They fight public transit initiatives, high speed railways, public municipal broadband, windmills &amp; solar. Keeping the public hooked on long commutes in cars. https://t.co/EJyMXCl5ao",0,0,0,
4470,Mon Sep 27 10:48:12 +0000 2021,"We need a Diet Change, not Climate Change. Let's put pressure on the world leaders at this year's climate conference #COP26 to commit to meat reduction to address the climate crisis. Sign the @FourPawsUK petition today. #LiveKinder 
 https://t.co/Q5BegnES8R",0,0,1,
2877,Sun Jun 06 13:07:16 +0000 2021,100 richest UK families urged to commit £1bn to tackle climate crisis https://t.co/Ms7YosLbE7,0,0,0,
2944,Tue Jul 13 22:51:01 +0000 2021,"Unhealthy impacts of climate change are emerging and so are the disparities in how it affects different groups. More from @ReneeNSalas_MD, @RhituC and @rebeccalramirez  https://t.co/vKfxwGmSES",0,1,5,
2204,Thu May 20 14:01:30 +0000 2021,"A great meeting on 12-05-2021 having some discussion about climate change Bill in Nigeria... Vanue; New wing House of representatives National Assembly Nigeria, Abuja https://t.co/yiMsTtSAKw",0,0,0,
4103,Wed Sep 01 09:58:01 +0000 2021,"Did not really exist in a widespread way in India until Modi years:

- Anti-vaxxism
- Climate change denial
- Random reverence for police
- Paranoia about Diwali/Holi being ""under attack""
- Mainstream opposition to inter-faith marriages

All ideas sanghis plagiarized from US RW",6,26,140,
2462,Sun Jun 06 13:47:15 +0000 2021,"Boris Johnson, your climate change scorecard is ready via @greenpeaceuk https://t.co/XBHA3ktOFr",0,0,0,
1489,Mon Feb 22 05:59:04 +0000 2021,"Texas and California built different power grids, but neither stood up to climate change - POLITICO https://t.co/N4iWrpU97Q",0,0,0,
5549,Sat Nov 06 12:07:28 +0000 2021,"#QUESTION = Will People Finally #WAKEUP to the position that ""MODELLING"" of Climate Change is Nothing but a Global Scam to Force Socialism ??

Carbon capture and storage: does it work, and does it mean we can keep burning fossil fuels? https://t.co/z5MH3GeWJP via @ABCaustralia",0,0,0,
4850,Wed Oct 20 21:14:59 +0000 2021,Someone ask Scott the PM &amp; Blackmailing Beetroot Joyce why they don't step down now as 'leaders' when Aus is running dead last on #climateaction?  If this was prep 4 the Olympics we'd sack the entire AOC on this performance! #auspol  https://t.co/D4b5vfD9uN,0,2,1,
234,Tue Jan 19 01:50:10 +0000 2021,"I´m so honored that application for ambassadorship in @IslandsInnovate  🌴 has been accepted successfully. I´m so glad to  have been selected as part of that amazing group!  
To exchange knowledge and meet people from all over the 🌏 to find solutions to the climate crisis. https://t.co/ZHo98z2Snu",3,4,20,
1263,Sun Jan 31 04:34:34 +0000 2021,They just showed their video advocating for help on Climate Change😭 #ClimateActionInYourArea #THESHOWToday @BLACKPINK https://t.co/KtX3kXPfrV,0,0,0,
1377,Sun Jan 31 04:27:01 +0000 2021,"Bill McKibben called Wednesday, January 27, “the most remarkable day in the history of America’s official response to the climate crisis…. 
https://t.co/w7cmeKIuf9 https://t.co/4aKjN28fIq",0,0,0,
3008,Tue Jul 13 22:40:32 +0000 2021,"The New York Times: What Role Does Climate Change Play in the West's Heat and Fires?.
https://t.co/V6bEtNFc9q",0,0,0,
877,Thu Jan 28 04:11:48 +0000 2021,Fuck global warming. I miss getting snowed in,0,0,1,
6109,Mon Dec 06 19:23:40 +0000 2021,"someone in my anthropology class tried to argue that climate change isn't something we should be worried about and cited prageru as one of her sources, we're all gonna die aren't we? https://t.co/QlmUNxjuaU",1,0,13,
1474,Mon Feb 22 06:01:46 +0000 2021,"Stephen Moore: Biden‘s ‘Climate Change‘ Policies Erase U.S. Energy Independence, Lock Down Trillions in Natural Resources https://t.co/2zaDevJ9dL via @BreitbartNews",0,0,0,
2384,Sun Jun 06 14:04:03 +0000 2021,#Retirement #retirement This Is Why Climate Change Should Be Part Of Your Retirement Plan https://t.co/v7Z9f7ITlI,0,0,0,
5359,Sat Nov 06 12:20:42 +0000 2021,"Morrison's Glasgow trip raises troubling questions about climate change, national security and how the government should be judged https://t.co/KJ8K7jDAhQ 
Not really. Most Australians are confident that Scott Morrison is acting in their interests. The chatter about subs is over",2,0,0,
1771,Fri Mar 26 05:49:07 +0000 2021,Power Plan is vital to the volunteers who are ready to step upAdd your name to support strong action on climate change.,0,0,0,
3471,Tue Jul 13 22:16:50 +0000 2021,guys stop climate change before we're all forced to wear short sleeves forever,0,0,4,
3560,Tue Aug 31 00:43:11 +0000 2021,"Same reason other things don't trend?! Thousands of homes lost, thousands of people displaced, thousands of acres have been burned/flooded because of climate change. That's another reason New Orleans is suffering as much as it does EVERY SINGLE STORM, it gets worst every year! https://t.co/9K0pl8ECqD",0,0,0,
